Mouse,Group,age_days,bw,bwSD,Body_Weight_Score,%twc,%rwc,Thresh_%rwc,Alopecia,Loss_of_fur_colour,Dermatitis,Loss_of_whiskers,Coat_condition,Tumours,Distended_abdomen,Kyphosis,Tail_stiffening,Gait_disorders,Tremor,Forelimb_grip_strength,Body_condition_score,Vestibular_disturbance,Hearing_loss,Cataracts,Corneal_capacity,Eye_discharge_swelling,Microphthalmia,Vision_loss,Menace_reflex,Nasal_discharge,malocclusion,Rectal_prolapse,Vaginal_uterine_penile_prolapse,Diarrhoea,Breathing_rate_depth,Mouse_grimace_scale,Piloerection,FI,FRIGHT_age,AFRAID_score
A-34,MetR,821.9999998,37.7,-0.674138185,0.0,-3.826530612,15.29051988,1,0.0,0.5,0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.258064516,864.9989387930472,153.17506303051994
A-35,MetR,821.9999998,32.1,0.926033313,0.0,14.23487544,14.23487544,1,0.5,0.5,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.0,1,0.266129032,795.707453629112,190.0769700545125
A-36,MetR,821.9999998,33.0,0.668862894,0.0,11.11111111,11.11111111,1,0.5,0.5,0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.233870968,796.6618392986385,145.98256053845168
A-56,MetR,821.9999998,35.7,-0.102648364,0.0,-6.544502617999999,3.47826087,0,0.0,0.5,0,0.0,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.5,1,0.306451613,876.9851780785688,126.16601555481625
A-74,MetR,821.9999998,37.8,-0.702712676,0.0,-26.60194175,2.717391304,0,0.5,0.5,0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0.5,0.5,1,0.379032258,896.58785929082,122.92071085628358
A-76,MetR,821.9999998,37.0,-0.474116747,0.0,0.0,17.08860759,1,0.0,0.5,0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0,0.5,0.5,1,0.258064516,860.1294330072392,135.76547282750798
A-93,MetR,821.9999998,30.7,1.326076188,0.25,-38.6,-13.52112676,1,0.0,0.5,0,0.0,0.5,0.0,0.5,0.56,0.5,0.0,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.5,0.5,1,0.332580645,877.9856883414149,109.37903742023987
A-95,MetR,821.9999998,39.7,-1.245628005,0.25,-6.588235294,17.8041543,1,0.0,0.5,0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.6,0.6,1,0.296774194,894.0498958380429,135.90745763257658
A-1,Dogs,823.9999999,48.4,-3.731608725,0.75,-3.777335984,0.207039337,0,0.5,0.5,0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.419354839,890.9458251680841,115.04338562510375
A-101,Dogs,821.9999998,35.3,0.0116496,0.0,-30.51181102,-16.74528302,1,0.0,0.5,0,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.306451613,897.417936114533,119.43573036820196
A-21,Dogs,821.9999998,38.8,-0.988457586,0.0,-8.274231678,-8.274231678,0,0.0,1.0,0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.346774194,907.5126250926548,61.70111472326974
A-23,Dogs,821.9999998,47.1,-3.360140342,0.75,-7.283464567,-3.87755102,0,0.0,0.5,0,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.314516129,877.2031853045767,112.19407617281857
A-3,Dogs,823.9999999,44.0,-2.47433112,0.5,-25.29711375,-25.42372881,1,0.5,1.0,0,0.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.435483871,976.4428347751384,54.41188144018908
A-41,Dogs,821.9999998,48.3,-3.703034234,0.75,-8.174904943,-8.174904943,0,0.5,0.5,0,1.0,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0,0.0,0,0.5,0.5,1,0.362903226,896.7940901718707,123.2831029693472
A-42,Dogs,821.9999998,51.4,-4.588843457,1.0,37.06666667,1.782178218,0,0.0,0.5,0,0.0,0.5,0.0,1.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.387096774,873.7252515700528,141.95583232280777
A-43,Dogs,821.9999998,50.0,-4.188800582,1.0,2.669404517,-1.960784314,0,0.5,0.5,0,1.0,0.5,1.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.427419355,876.2137505780905,131.30593871980864
A-62,Dogs,821.9999998,37.7,-0.674138185,0.0,-10.23809524,-11.70960187,1,0.0,0.5,0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.322580645,920.8267102171636,56.737059805019825
A-63,Dogs,821.9999998,43.1,-2.217160701,0.5,-15.32416503,-8.686440678,0,0.5,1.0,0,0.5,1.0,0.0,1.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0,0.0,0,0.5,0.5,1,0.403225806,911.8951039741806,103.98167668994626
